date,run_utc,found,classified,asylum
2026-03-18,01:56:45,0,0,0
2026-03-18,02:01:35,500,2,1
2026-03-18,02:07:19,500,0,0
2026-03-18,02:24:35,500,1,0
2026-03-18,05:21:03,500,10,6
2026-03-18,08:34:19,500,11,7
2026-03-18,12:39:36,500,12,3
2026-03-18,16:47:25,500,11,3
2026-03-18,20:23:49,500,9,2
2026-03-19,01:03:44,500,12,2
2026-03-19,05:18:33,500,10,3
2026-03-19,08:29:07,500,8,4
2026-03-19,12:33:17,500,11,1
2026-03-19,16:43:53,500,11,2
2026-03-19,20:24:30,500,11,4
2026-03-20,01:00:10,500,15,4
2026-03-20,05:11:24,500,13,2
2026-03-20,08:27:30,500,12,1
2026-03-20,12:30:00,500,14,4
2026-03-20,16:28:54,500,13,9
2026-03-20,19:02:23,500,7,3
2026-03-20,20:43:34,500,6,3
2026-03-20,22:38:41,500,5,3
