date,run_utc,found,classified,asylum
2026-03-18,02:06:06,500,19,3
2026-03-18,02:07:19,500,0,0
2026-03-18,05:24:33,500,18,8
2026-03-18,08:43:12,500,19,7
2026-03-18,13:02:14,500,16,5
2026-03-18,16:56:41,500,16,5
2026-03-18,20:32:04,500,15,0
2026-03-19,01:54:14,500,19,2
2026-03-19,05:21:16,500,10,0
2026-03-19,08:37:52,500,8,1
2026-03-19,12:55:58,500,8,2
2026-03-19,16:54:23,500,8,0
2026-03-19,20:32:46,500,8,0
2026-03-20,01:48:35,500,8,1
2026-03-20,05:14:17,500,8,1
2026-03-20,08:36:29,500,7,0
2026-03-20,12:52:04,500,5,0
2026-03-20,18:31:58,500,4,0
2026-03-20,20:19:43,500,3,0
2026-03-20,22:16:28,500,3,1
